Thrust lbf,alt km
4656.955047,1.359416345
4657.763162,1.36905093
4658.571278,1.378694719
4659.379393,1.388347732
4660.187508,1.398009989
4660.995624,1.407681509
4661.803739,1.417362313
4662.611854,1.42705242
4663.41997,1.43675185
4664.228085,1.446460624
4665.0362,1.456178761
4665.844316,1.465906282
4666.652431,1.475643206
4667.460546,1.485389556
4668.268662,1.49514535
4669.076777,1.504910609
4669.884892,1.514685354
4670.693008,1.524469605
4671.501123,1.534263383
4672.309238,1.544066709
4673.117353,1.553879604
4673.925469,1.563702089
4674.733584,1.573534184
4675.541699,1.58337591
4676.349815,1.593227289
4677.15793,1.603088342
4677.966045,1.612959091
4678.774161,1.622839555
4679.582276,1.632729758
4680.390391,1.64262972
4681.198507,1.652539463
4682.006622,1.662459008
4682.814737,1.672388377
4683.622853,1.682327593
4684.430968,1.692276676
4685.239083,1.702235649
4686.047199,1.712204534
4686.855314,1.722183352
4687.663429,1.732172127
4688.471545,1.74217088
4689.27966,1.752179633
4690.087775,1.762198409
4690.89589,1.772227231
4691.704006,1.78226612
4692.512121,1.7923151
4693.320236,1.802374193
4694.128352,1.812443422
4694.936467,1.82252281
4695.744582,1.83261238
4696.552698,1.842712154
4697.360813,1.852822157
4698.168928,1.86294241
4698.977044,1.873072938
4699.785159,1.883213763
4700.593274,1.89336491
4701.40139,1.903526401
4702.209505,1.91369826
4703.01762,1.923880511
4703.825736,1.934073178
4704.633851,1.944276284
4705.441966,1.954489854
4706.250082,1.96471391
4707.058197,1.974948479
4707.866312,1.985193583
4708.674428,1.995449247
4709.482543,2.005715495
4710.290658,2.015992352
4711.098773,2.026279843
4711.906889,2.036577991
4712.715004,2.046886822
4713.523119,2.05720636
4714.331235,2.067536631
4715.13935,2.077877659
4715.947465,2.088229469
4716.755581,2.098592086
4717.563696,2.108965537
4718.371811,2.119349845
4719.179927,2.129745038
4719.988042,2.140151139
4720.796157,2.150568174
4721.604273,2.160996171
4722.412388,2.171435153
4723.220503,2.181885148
4724.028619,2.19234618
4724.836734,2.202818277
4725.644849,2.213301464
4726.452965,2.223795768
4727.26108,2.234301215
4728.069195,2.244817831
4728.87731,2.255345643
4729.685426,2.265884679
4730.493541,2.276434963
4731.301656,2.286996524
4732.109772,2.297569389
4732.917887,2.308153584
4733.726002,2.318749137
4734.534118,2.329356074
4735.342233,2.339974424
4736.150348,2.350604214
4736.958464,2.361245471
4737.766579,2.371898223
4738.574694,2.382562497
4739.38281,2.393238323
4740.190925,2.403925727
4740.99904,2.414624738
4741.807156,2.425335384
4742.615271,2.436057694
4743.423386,2.446791695
4744.231502,2.457537417
4745.039617,2.468294887
4745.847732,2.479064135
4746.655847,2.48984519
4747.463963,2.50063808
4748.272078,2.511442835
4749.080193,2.522259484
4749.888309,2.533088055
4750.696424,2.54392858
4751.504539,2.554781086
4752.312655,2.565645604
4753.12077,2.576522163
4753.928885,2.587410794
4754.737001,2.598311525
4755.545116,2.609224389
4756.353231,2.620149414
4757.161347,2.63108663
4757.969462,2.642036069
4758.777577,2.652997762
4759.585693,2.663971737
4760.393808,2.674958027
4761.201923,2.685956663
4762.010039,2.696967675
4762.818154,2.707991094
4763.626269,2.719026953
4764.434385,2.730075281
4765.2425,2.741136112
4766.050615,2.752209476
4766.85873,2.763295405
